"date","abbrev","population","unemployment","bachelors","rgdp_2017","state","legal","legal.year","retailyear","onlineyear","online","retail","tribalonly","notes","mean_eff_tax","Federal.Minimum.Wage","Governor.is.Democrat..1.Yes.","Personal.income","Poverty.Rate","state_num","State.Minimum.Wage","Unemployment","year","state_fips","SSI.recipients","Employment"
2006,"TX",23359.58,5,24.7,1225147.3,"Texas",0,NA,NA,NA,0,0,0,"",NA,5.15,"0",820949.9,16.4,"44",5.15,553.505,2006,48,524.458,10774.49
2006,"UT",2525.507,2.9,28.6,127539.4,"Utah",0,NA,NA,NA,0,0,0,"",NA,5.15,"0",79063,9.3,"45",5.15,39.122,2006,49,23.532,1279.328
2006,"VA",7673.725,3.1,32.7,451263.1,"Virginia",1,2020,2020,2020,1,1,0,"",NA,5.15,"1",326087.1,8.6,"47",5.15,123.008,2006,51,139.313,3855.633
2006,"VT",622.892,3.7,32.4,29420.9,"Vermont",1,2023,NA,2023,1,0,0,"",NA,5.15,"0",23108.8,7.8,"46",7.25,13.142,2006,50,13.457,343.865
2006,"WA",6370.753,5,30.5,372145.1,"Washington",1,2020,2020,NA,0,1,1,"tribal-only",NA,5.15,"1",257120,8,"48",7.35,167.312,2006,53,118.946,3156.626
2006,"WI",5577.655,4.7,25.1,287146.6,"Wisconsin",1,2021,2021,NA,0,1,1,"tribal-only",NA,5.15,"1",202649.3,10.1,"50",5.7,144.785,2006,55,93.549,2914.15
2006,"WV",1827.912,4.8,16.5,68900,"West Virginia",1,2018,2018,2018,1,1,0,"",NA,5.15,"1",52193.7,15.3,"49",5.85,39.769,2006,54,77.987,766.399
2006,"WY",522.667,3.1,22.7,36655.7,"Wyoming",1,2021,2021,2021,1,1,0,"",NA,5.15,"1",22771,10,"51",5.15,8.911,2006,56,5.786,272.336
2007,"AK",680.3,6.3,26,50126.8,"Alaska",0,NA,NA,NA,0,0,0,"",NA,5.15,"0",29838.9,7.6,"2",7.15,22.206,2007,2,11.44,328.579
2007,"AL",4672.84,4.1,21.4,202025.5,"Alabama",0,NA,NA,NA,0,0,0,"",NA,5.15,"0",152327,14.5,"1",5.15,86.485,2007,1,165.521,2089.127
2007,"AR",2848.65,5.4,19.3,114026.7,"Arkansas",1,2018,2019,2022,1,1,0,"",NA,5.15,"1",88508.3,13.8,"4",6.25,72.712,2007,5,95.802,1296.572
2007,"AZ",6167.681,3.7,25.3,306611.6,"Arizona",1,2021,2021,2021,1,1,0,"",NA,5.15,"1",220735.9,14.3,"3",6.75,116.899,2007,4,100.724,2917.117
2007,"CA",36250.311,5.3,29.5,2168940.4,"California",0,NA,NA,NA,0,0,0,"",NA,5.15,"0",1581573.3,12.7,"5",7.5,961.49,2007,6,1247.231,16931.59
2007,"CO",4803.868,3.7,35,278733.8,"Colorado",1,2019,2020,2020,1,1,0,"",NA,5.15,"1",201875.5,9.8,"6",6.85,99.459,2007,8,58.497,2565.218
2007,"CT",3527.27,4.5,34.7,278485.4,"Connecticut",1,2021,2021,2021,1,1,0,"",NA,5.15,"0",204090.2,8.9,"7",7.65,83.05,2007,9,54.197,1773.159
2007,"DE",871.749,3.4,26.1,68132.4,"Delaware",1,2018,2018,2018,1,1,0,"",NA,5.15,"1",36340.6,9.3,"8",6.65,15.261,2007,10,14.401,428.312
2007,"FL",18367.842,4,25.8,922288.3,"Florida",1,2021,2023,2023,1,1,0,"lawsuit in 2021 that shut down operations",NA,5.15,"0",727404.7,12.5,"10",6.67,367.354,2007,12,431.015,8789.77
2007,"GA",9349.988,4.6,27.1,492238.7,"Georgia",0,NA,NA,NA,0,0,0,"",NA,5.15,"0",332135.8,13.6,"11",5.15,218.178,2007,13,208.016,4597.64
2007,"HI",1315.675,2.7,29.2,76434.1,"Hawaii",0,NA,NA,NA,0,0,0,"",NA,5.15,"0",53423.1,7.5,"12",7.25,17.86,2007,15,23.262,620.535
2007,"IA",2999.212,3.7,24.3,162838.1,"Iowa",1,2019,2019,2019,1,1,0,"",NA,5.15,"1",109889.6,8.9,"16",5.15,61.345,2007,19,44.659,1599.332
2007,"ID",1505.105,3,24.5,61812.1,"Idaho",0,NA,NA,NA,0,0,0,"",NA,5.15,"0",49123,9.9,"13",5.15,23.203,2007,16,23.697,731.235
2007,"IL",12695.866,5.1,29.5,769571.6,"Illinois",1,2019,2020,2020,1,1,0,"",NA,5.15,"1",538060.1,10,"14",7.5,331.591,2007,17,261.901,6334.01
2007,"IN",6379.599,4.6,22.1,322661.7,"Indiana",1,2019,2019,2019,1,1,0,"",NA,5.15,"0",216814.3,11.8,"15",5.15,146.645,2007,18,104.366,3061.042
2007,"KS",2783.785,4.3,28.8,143586.6,"Kansas",1,2022,2022,2022,1,1,0,"",NA,5.15,"1",105257.1,11.7,"17",2.65,63.009,2007,20,40.405,1420.449
2007,"KY",4256.672,5.4,20,185790.1,"Kentucky",1,2023,2023,2023,1,1,0,"",NA,5.15,"0",134575.8,15.5,"18",5.15,109.862,2007,21,184.378,1922.22
2007,"LA",4375.581,4.1,20.4,234216.4,"Louisiana",1,2021,2021,2022,1,1,0,"",NA,5.15,"1",157374.3,16.1,"19",5.15,86.396,2007,22,162.271,1944.038
2007,"MA",6431.559,4.5,37.9,440373.9,"Massachusetts",1,2022,2023,2023,1,1,0,"",NA,5.15,"1",323111.3,11.2,"22",7.5,157.913,2007,25,178.856,3268.096
2007,"MD",5653.408,3.4,35.2,331763.5,"Maryland",1,2021,2021,2021,1,1,0,"",NA,5.15,"1",269020.9,8.8,"21",6.15,102.746,2007,24,97.858,2867.348
2007,"ME",1327.04,4.7,26.7,60032.7,"Maine",1,2022,2023,2023,1,1,0,"",NA,5.15,"1",47356.7,10.9,"20",6.75,32.687,2007,23,33.328,667.781
2007,"MI",10001.284,7.1,24.7,482935.1,"Michigan",1,2019,2020,2021,1,1,0,"",NA,5.15,"1",347961.9,10.8,"23",6.95,352.181,2007,26,228.068,4658.939
2007,"MN",5207.203,4.6,31,304208,"Minnesota",0,NA,NA,NA,0,0,0,"",NA,5.15,"0",217244.3,9.3,"24",6.15,132.686,2007,27,78.401,2773.704
2007,"MO",5887.612,5.1,24.5,288320.9,"Missouri",0,NA,NA,NA,0,0,0,"",NA,5.15,"0",208403.6,12.8,"26",6.5,154.932,2007,29,121.876,2879.647
2007,"MS",2928.35,6.1,18.9,107713.9,"Mississippi",1,2017,2017,NA,0,1,0,"",NA,5.15,"0",85999.5,22.6,"25",5.15,79.455,2007,28,122.745,1224.059
2007,"MT",964.706,3.4,27,42057.7,"Montana",1,2019,2019,NA,0,1,0,"",NA,5.15,"1",32716.6,13,"27",6.15,17.881,2007,30,15.629,484.189
2007,"NC",9118.037,4.7,25.6,477920.8,"North Carolina",1,2019,2019,2023,1,1,0,"retail is tribal",NA,5.15,"1",329509.4,15.5,"34",6.15,212.552,2007,37,205.604,4300.304
2007,"ND",652.822,3,25.7,32529,"North Dakota",1,2018,2018,2018,0,1,1,"",NA,5.15,"0",23686.5,9.3,"35",5.15,11.468,2007,38,8.003,355.766
2007,"NE",1783.44,3,27.5,99780.8,"Nebraska",1,2021,2021,NA,0,1,0,"",NA,5.15,"0",68466.1,9.9,"28",5.15,29.269,2007,31,23.052,949.494
2007,"NH",1312.54,3.5,32.5,71943.5,"New Hampshire",1,2019,2019,2019,1,1,0,"",NA,5.15,"1",58631.3,5.8,"30",5.15,25.934,2007,33,15.119,712.008
2007,"NJ",8677.885,4.2,33.9,560823.8,"New Jersey",1,2018,2018,2018,1,1,0,"",NA,5.15,"1",440165.6,8.7,"31",7.15,189.982,2007,34,156.374,4251.815
2007,"NM",1990.07,3.5,24.8,89392.4,"New Mexico",1,2018,2018,NA,0,1,1,"",NA,5.15,"1",63418.4,14,"32",5.15,35.029,2007,35,56.387,898.998
2007,"NV",2601.072,4.8,21.8,157734.3,"Nevada",1,1949,1949,2010,1,1,0,"",NA,5.15,"0",104564.6,9.7,"29",6.15,59.824,2007,32,35.548,1270.572
2007,"NY",19132.335,4.4,31.7,1353798.9,"New York",1,2013,2019,2022,1,1,0,"https://www.deucescracked.com/ny-sports-betting-guide-getting-started-2025-update/",NA,5.15,"1",909175.2,14.5,"33",7.15,433.849,2007,36,648.908,9088.207
2007,"OH",11500.468,5.6,24.1,585403,"Ohio",1,2021,2021,2021,1,1,0,"",NA,5.15,"1",408493.7,12.8,"36",6.85,332.574,2007,39,257.874,5657.718
2007,"OK",3634.349,4,22.8,152879.6,"Oklahoma",0,NA,NA,NA,0,0,0,"",NA,5.15,"1",127864.1,13.4,"37",5.15,70.769,2007,40,85.102,1655.49
2007,"OR",3722.417,5.2,28.3,180724.3,"Oregon",1,2019,2019,2019,1,1,0,"",NA,5.15,"1",134019.6,12.8,"38",7.8,98.994,2007,41,64.031,1822.772
2007,"PA",12563.937,4.6,25.8,649638,"Pennsylvania",1,2017,2017,2017,1,1,0,"",NA,5.15,"1",505303.6,10.4,"39",6.25,278.934,2007,42,333.531,6064.063
2007,"RI",1057.315,5.1,29.8,56230.6,"Rhode Island",1,2018,2018,2019,1,1,0,"",NA,5.15,"0",43394.6,9.5,"40",7.4,29.772,2007,44,31.101,543.401
2007,"SC",4444.11,5.6,23.5,193386.6,"South Carolina",0,NA,NA,NA,0,0,0,"",NA,5.15,"0",143383.7,14.1,"41",5.15,120.205,2007,45,105.519,2005.686
2007,"SD",791.623,2.9,25,41646.2,"South Dakota",1,2021,2021,NA,0,1,0,"",NA,5.15,"0",30604.7,9.4,"42",5.15,12.488,2007,46,12.961,430.011
2007,"TN",6175.727,4.7,21.8,294819.8,"Tennessee",1,2019,NA,2019,1,0,0,"",NA,5.15,"1",209963.6,14.8,"43",5.15,143.317,2007,47,163.142,2920.352
2007,"TX",23831.983,4.3,25.2,1288828.7,"Texas",0,NA,NA,NA,0,0,0,"",NA,5.15,"0",873354,16.5,"44",5.15,490.218,2007,48,544.605,10941.413
2007,"UT",2597.746,2.6,28.7,133799.8,"Utah",0,NA,NA,NA,0,0,0,"",NA,5.15,"0",86046,9.6,"45",5.15,35.069,2007,49,24.472,1324.06
2007,"VA",7751,3.1,33.6,457568.9,"Virginia",1,2020,2020,2020,1,1,0,"",NA,5.15,"1",343153.1,8.6,"47",5.15,122.748,2007,51,140.419,3914.087
2007,"VT",623.481,3.9,33.6,29296.6,"Vermont",1,2023,NA,2023,1,0,0,"",NA,5.15,"0",24319.7,9.9,"46",7.53,14.192,2007,50,13.92,339.547
2007,"WA",6461.587,4.6,30.3,394221.9,"Washington",1,2020,2020,NA,0,1,1,"tribal-only",NA,5.15,"1",278686.9,10.2,"48",7.93,159.855,2007,53,121.577,3243.308
2007,"WI",5610.775,4.8,25.4,289855.2,"Wisconsin",1,2021,2021,NA,0,1,1,"tribal-only",NA,5.15,"1",211964.9,11,"50",6.5,151.376,2007,55,96.037,2936.452
2007,"WV",1834.052,4.5,17.3,69374.1,"West Virginia",1,2018,2018,2018,1,1,0,"",NA,5.15,"1",54128.8,14.8,"49",5.85,37.17,2007,54,78.931,773.99
2007,"WY",534.876,2.7,23.4,39504.9,"Wyoming",1,2021,2021,2021,1,1,0,"",NA,5.15,"1",24263.4,10.9,"51",5.15,8.074,2007,56,5.832,278.486
2008,"AK",687.455,6.5,27.3,49926.6,"Alaska",0,NA,NA,NA,0,0,0,"",NA,5.85,"0",32825.1,8.2,"2",7.15,23.824,2008,2,11.614,332.285
2008,"AL",4718.206,5.9,22,200967.5,"Alabama",0,NA,NA,NA,0,0,0,"",NA,5.85,"0",157366.8,14.3,"1",5.85,123.012,2008,1,166.743,2053.477
