state_name,state,state_fips,year,Population,Employment,Unemployment ,Unemployment rate,Marginally Food Insecure,Food Insecure,Very Low Food Secure,Gross State Product,Number of low income uninsured children,Percent Low Income Unisured Children,Personal income,Workers' compensation,AFDC/TANF Recipients,AFDC/TANF Caseloads,Food Stamp/SNAP Recipients,Food Stamp/SNAP Caseloads,AFDC/TANF Benefit for 2-Person family,AFDC/TANF Benefit for 3-person family,AFDC/TANF benefit for 4-person family,FS/SNAP Benefit for 1-person family,FS/SNAP Benefit for 2-person family,FS/SNAP Benefit for 3-person family,FS/SNAP Benefit for 4-person family,AFDC/TANF_FS 2-Person Benefit,AFDC/TANF_FS 3-Person Benefit,AFDC/TANF_FS 4-Person Benefit,Child-only AFDC/TANF cases,SSI-Federal,SSI-State,Total SSI,SSI_FS Benefit,Number of Poor (thousands),Poverty Rate,Governor is Democrat (1=Yes),Number in Lower House Democrat,Number in Lower House Republican,Fraction of State House that is Democrat,Number in Upper House Democrat,Number in Upper House Republican,Fraction of State Senate that is Democrat,EITC Phase-In Rate No Dependents,EITC Phase-In Rate 1 Dependent,EITC Phase-In Rate 2 Dependents,EITC Phase-In Rate 3 Dependents,EITC Maximum Credit No Dependents,EITC Maximum Credit 1 Dependent,EITC Maximum Credit 2 Dependents,EITC Maximum Credit 3 Dependents,EITC Phase-Out Rate No Dependents,EITC Phase-Out Rate 1 Dependent,EITC Phase-Out Rate 2 Dependents,EITC Phase-Out Rate 3 Dependents,State EITC Rate,Wisconsin EITC Rate 2 Dependents,Wisconsin EITC Rate 3 Dependents,Refundable State EITC (1=Yes),Federal Minimum Wage,State Minimum Wage,SSI recipients,SSI recipients--Aged,SSI recipients--Blind,SSI recipients--Disabled,Medicaid beneficiaries,WIC participation,NSLP Free Participation,NSLP Reduced Participation,NSLP Total Participation,SBP Free Participation,SBP Reduced Participation,SBP Total Participation,
ID,13,16,1980,943935,396448,32291,7.5,,,,9916,,,8394900,10440,20953,7781,60759,22184,260,323,367,63,115,165,209,347,441,515,,238,74,312,331,138,14.7,1,20,50,0.29,16,19,0.46,0.0000,0.1000,0.1000,0.1000,0,500,500,500,0.0000,0.1250,0.1250,0.1250,0.000,,,0,3.10,3.10,,,,,,,,,,,,,
IL,14,17,1980,11426518,5101693,452846,8.2,,,,145264,,,125211000,28506,671780,213781,903184,337725,238,288,350,63,115,165,209,331,416,504,,238,0,238,279,1386,12.3,0,89,88,0.50,32,27,0.54,0.0000,0.1000,0.1000,0.1000,0,500,500,500,0.0000,0.1250,0.1250,0.1250,0.000,,,0,3.10,2.30,,,,,,,,,,,,,
IN,15,18,1980,5490224,2372211,253333,9.6,,,,58870,,,51418700,14018,156876,54955,352963,118792,195,255,315,63,115,165,209,301,393,479,,238,0,238,279,645,11.8,0,46,54,0.46,21,29,0.42,0.0000,0.1000,0.1000,0.1000,0,500,500,500,0.0000,0.1250,0.1250,0.1250,0.000,,,0,3.10,3.10,,,,,,,,,,,,,
IA,16,19,1980,2913808,1348855,86301,6.0,,,,34582,,,27993700,3579,103694,37833,140916,54544,292,360,419,63,115,165,209,369,467,552,,238,0,238,279,311,10.8,0,44,56,0.44,22,28,0.44,0.0000,0.1000,0.1000,0.1000,0,500,500,500,0.0000,0.1250,0.1250,0.1250,0.000,,,0,3.10,3.10,,,,,,,,,,,,,
KS,17,20,1980,2363679,1134614,52811,4.4,,,,28298,,,23869200,6962,67762,25790,90246,35844,290,345,390,63,115,165,209,368,456,532,,238,0,238,279,215,9.4,1,56,69,0.45,18,22,0.45,0.0000,0.1000,0.1000,0.1000,0,500,500,500,0.0000,0.1250,0.1250,0.1250,0.000,,,0,3.10,3.10,,,,,,,,,,,,,
KY,18,21,1980,3660777,1526920,131904,8.0,,,,37017,,,29871600,50412,167478,62922,467997,151549,162,188,235,63,115,165,209,277,346,423,,238,0,238,279,701,19.3,1,75,25,0.75,29,9,0.76,0.0000,0.1000,0.1000,0.1000,0,500,500,500,0.0000,0.1250,0.1250,0.1250,0.000,,,0,3.10,2.15,,,,,,,,,,,,,
LA,19,22,1980,4205900,1664309,122392,6.9,,,,63925,,,37368800,9038,212602,68644,569480,192051,110,152,187,63,115,165,209,225,317,389,,238,0,238,279,868,20.3,0,96,9,0.91,39,0,1.00,0.0000,0.1000,0.1000,0.1000,0,500,500,500,0.0000,0.1250,0.1250,0.1250,0.000,,,0,3.10,3.10,,,,,,,,,,,,,
ME,20,23,1980,1124660,467389,38574,7.6,,,,10263,,,9653500,1074,60396,21364,139086,52946,207,280,352,63,115,165,209,309,411,505,,238,10,248,286,158,14.6,1,77,73,0.51,13,19,0.41,0.0000,0.1000,0.1000,0.1000,0,500,500,500,0.0000,0.1250,0.1250,0.1250,0.000,,,0,3.10,3.10,,,,,,,,,,,,,
MD,21,24,1980,4216975,2007042,141183,6.6,,,,47522,,,48503300,28816,212252,77105,323607,132586,211,270,326,63,115,165,209,312,404,487,,238,0,238,279,389,9.5,1,124,16,0.89,40,7,0.85,0.0000,0.1000,0.1000,0.1000,0,500,500,500,0.0000,0.1250,0.1250,0.1250,0.000,,,0,3.10,3.10,,,,,,,,,,,,,
MA,22,25,1980,5737037,2706635,161636,5.6,,,,69684,,,61388700,33163,350304,124396,453091,168950,314,379,444,63,115,165,209,384,480,569,,238,137,375,375,542,9.5,1,129,30,0.81,34,6,0.85,0.0000,0.1000,0.1000,0.1000,0,500,500,500,0.0000,0.1250,0.1250,0.1250,0.000,,,0,3.10,3.10,,,,,,,,,,,,,
MI,23,26,1980,9262078,3773197,530409,12.3,,,,104134,,,94684400,102549,684632,225095,813103,320168,350,425,501,63,115,165,209,410,512,609,,238,24,262,296,1194,12.9,0,70,40,0.64,24,14,0.63,0.0000,0.1000,0.1000,0.1000,0,500,500,500,0.0000,0.1250,0.1250,0.1250,0.000,,,0,3.10,3.10,,,,,,,,,,,,,
MN,24,27,1980,4075970,1983321,121479,5.8,,,,50219,,,42002100,29374,135121,49903,170622,68338,344,417,486,63,115,165,209,405,506,599,,238,34,272,303,342,8.7,0,67,67,0.50,47,20,0.70,0.0000,0.1000,0.1000,0.1000,0,500,500,500,0.0000,0.1250,0.1250,0.1250,0.000,,,0,3.10,2.90,,,,,,,,,,,,,
MS,25,28,1980,2520638,978337,78483,7.4,,,,21353,,,18097500,7071,173052,57691,496184,151714,60,96,120,63,115,165,209,175,261,329,,238,0,238,279,591,24.3,1,116,4,0.97,48,4,0.92,0.0000,0.1000,0.1000,0.1000,0,500,500,500,0.0000,0.1250,0.1250,0.1250,0.000,,,0,3.10,3.10,,,,,,,,,,,,,
MO,26,29,1980,4916686,2139848,166196,7.2,,,,52420,,,46120200,12036,199279,67674,335149,120322,199,248,290,63,115,165,209,304,388,462,,238,0,238,279,625,13.0,1,117,46,0.72,21,11,0.66,0.0000,0.1000,0.1000,0.1000,0,500,500,500,0.0000,0.1250,0.1250,0.1250,0.000,,,0,3.10,3.10,,,,,,,,,,,,,
MT,27,30,1980,786690,352700,22991,6.1,,,,8925,,,7211100,23429,19313,6901,43045,15768,193,259,331,63,115,165,209,300,396,490,,238,0,238,279,102,13.2,1,55,45,0.55,26,24,0.52,0.0000,0.1000,0.1000,0.1000,0,500,500,500,0.0000,0.1250,0.1250,0.1250,0.000,,,0,3.10,2.50,,,,,,,,,,,,,
NE,28,31,1980,1569825,739672,30249,3.9,,,,18294,,,14758200,2347,35226,12563,66153,24197,250,310,370,63,115,165,209,340,432,518,,238,75,313,332,199,13.0,0,,,,,,,0.0000,0.1000,0.1000,0.1000,0,500,500,500,0.0000,0.1250,0.1250,0.1250,0.000,,,0,3.10,3.10,,,,,,,,,,,,,
NV,29,32,1980,800493,403078,26506,6.2,,,,11633,,,9682800,110826,11787,4266,32333,13071,211,262,314,63,115,165,209,312,398,478,,238,47,285,312,70,8.3,0,26,14,0.65,15,5,0.75,0.0000,0.1000,0.1000,0.1000,0,500,500,500,0.0000,0.1250,0.1250,0.1250,0.000,,,0,3.10,2.75,,,,,,,,,,,,,
NH,30,33,1980,920610,445531,21127,4.5,,,,9263,,,9278200,2980,22312,8108,50153,19785,292,346,392,63,115,165,209,369,457,533,,238,46,284,311,63,7.0,1,174,224,0.44,12,12,0.50,0.0000,0.1000,0.1000,0.1000,0,500,500,500,0.0000,0.1250,0.1250,0.1250,0.000,,,0,3.10,3.10,,,,,,,,,,,,,
NJ,31,34,1980,7364823,3333840,257680,7.2,,,,88334,,,87046700,51824,459451,148144,605219,202277,273,360,414,63,115,165,209,356,467,548,,238,23,261,295,659,9.0,1,44,36,0.55,27,13,0.68,0.0000,0.1000,0.1000,0.1000,0,500,500,500,0.0000,0.1250,0.1250,0.1250,0.000,,,0,3.10,3.10,,,,,,,,,,,,,
NM,32,35,1980,1302894,523176,42881,7.6,,,,15731,,,11323000,11444,53442,18359,184653,60048,178,220,267,63,115,165,209,289,369,445,,238,0,238,279,268,20.6,1,41,29,0.59,33,9,0.79,0.0000,0.1000,0.1000,0.1000,0,500,500,500,0.0000,0.1250,0.1250,0.1250,0.000,,,0,3.10,2.90,,,,,,,,,,,,,
NY,33,36,1980,17558072,7378756,595598,7.5,,,,235746,,,193258500,280540,1099742,362737,1759038,704235,333,394,476,63,115,165,209,398,490,592,,238,63,301,323,2391,13.8,1,86,64,0.57,25,35,0.42,0.0000,0.1000,0.1000,0.1000,0,500,500,500,0.0000,0.1250,0.1250,0.1250,0.000,,,0,3.10,3.10,,,,,,,,,,,,,
NC,34,37,1980,5881766,2671472,182511,6.4,,,,58791,,,49247000,7517,197730,77411,581767,200104,167,192,210,63,115,165,209,281,349,406,,238,0,238,279,877,15.0,1,105,15,0.88,45,5,0.90,0.0000,0.1000,0.1000,0.1000,0,500,500,500,0.0000,0.1250,0.1250,0.1250,0.000,,,0,3.10,2.90,,,,,,,,,,,,,
ND,35,38,1980,652717,288400,14955,4.9,,,,7645,,,5269900,17222,12956,4775,25324,8870,270,334,408,63,115,165,209,354,448,544,,238,0,238,279,99,15.5,1,29,71,0.29,15,35,0.30,0.0000,0.1000,0.1000,0.1000,0,500,500,500,0.0000,0.1250,0.1250,0.1250,0.000,,,0,3.10,3.10,,,,,,,,,,,,,
OH,36,39,1980,10797630,4662318,425069,8.4,,,,121228,,,107184500,570025,513105,180228,864859,328325,216,263,327,63,115,165,209,316,399,487,,238,0,238,279,1046,9.8,0,62,37,0.63,18,15,0.55,0.0000,0.1000,0.1000,0.1000,0,500,500,500,0.0000,0.1250,0.1250,0.1250,0.000,,,0,3.10,3.10,,,,,,,,,,,,,
OK,37,40,1980,3025290,1310022,60705,4.4,,,,37608,,,29278800,60620,89219,30148,209045,82410,218,282,349,63,115,165,209,317,412,503,,238,79,317,334,406,13.9,1,75,26,0.74,39,9,0.81,0.0000,0.1000,0.1000,0.1000,0,500,500,500,0.0000,0.1250,0.1250,0.1250,0.000,,,0,3.10,3.10,,,,,,,,,,,,,
OR,38,41,1980,2633105,1188148,110033,8.5,,,,30001,,,27030400,121943,101935,38532,197033,83938,374,473,569,63,115,165,209,426,546,657,,238,12,250,288,309,11.5,0,34,25,0.58,23,7,0.77,0.0000,0.1000,0.1000,0.1000,0,500,500,500,0.0000,0.1250,0.1250,0.1250,0.000,,,0,3.10,2.90,,,,,,,,,,,,,
PA,39,42,1980,11863895,4999664,436264,8.0,,,,127181,,,119088400,74406,628972,214986,979643,419116,273,332,395,63,115,165,209,356,447,535,,238,32,270,302,1142,9.8,0,100,102,0.50,27,23,0.54,0.0000,0.1000,0.1000,0.1000,0,500,500,500,0.0000,0.1250,0.1250,0.1250,0.000,,,0,3.10,3.10,,,,,,,,,,,,,
RI,40,44,1980,947154,435133,33863,7.2,,,,9626,,,9390600,8924,52329,18117,86612,35338,276,340,389,63,115,165,209,358,453,531,,238,42,280,309,97,10.7,1,84,16,0.84,45,5,0.90,0.0000,0.1000,0.1000,0.1000,0,500,500,500,0.0000,0.1250,0.1250,0.1250,0.000,,,0,3.10,2.90,,,,,,,,,,,,,
SC,41,45,1980,3121820,1309817,94775,6.7,,,,27607,,,24966900,12651,152963,55463,426323,137640,99,129,158,63,115,165,209,214,294,367,,238,0,238,279,534,16.8,1,108,16,0.87,43,2,0.96,0.0000,0.1000,0.1000,0.1000,0,500,500,500,0.0000,0.1250,0.1250,0.1250,0.000,,,0,3.10,3.10,,,,,,,,,,,,,
SD,42,46,1980,690768,318952,16097,4.8,,,,6760,,,5712800,1306,20299,7474,43144,14915,280,321,361,63,115,165,209,361,439,511,,238,15,253,290,127,18.8,0,22,48,0.31,11,24,0.31,0.0000,0.1000,0.1000,0.1000,0,500,500,500,0.0000,0.1250,0.1250,0.1250,0.000,,,0,3.10,2.30,,,,,,,,,,,,,
TN,43,47,1980,4591120,1926451,154751,7.4,,,,44972,,,38078000,19386,161520,60852,624310,225466,97,122,148,63,115,165,209,212,287,357,,238,0,238,279,884,19.6,0,60,38,0.61,20,12,0.63,0.0000,0.1000,0.1000,0.1000,0,500,500,500,0.0000,0.1250,0.1250,0.1250,0.000,,,0,3.10,3.10,,,,,,,,,,,,,
TX,44,48,1980,14229191,6404883,347634,5.1,,,,203073,,,143140300,71582,308167,100680,1167109,361810,86,116,140,63,115,165,209,201,281,349,,238,0,238,279,2247,15.7,0,128,22,0.85,27,4,0.87,0.0000,0.1000,0.1000,0.1000,0,500,500,500,0.0000,0.1250,0.1250,0.1250,0.000,,,0,3.10,3.10,,,,,,,,,,,,,
UT,45,49,1980,1461037,590777,39050,6.2,,,,15311,,,12319300,30949,37448,12088,54167,18589,278,360,429,63,115,165,209,359,467,559,,238,10,248,286,148,10.0,1,25,50,0.33,10,19,0.34,0.0000,0.1000,0.1000,0.1000,0,500,500,500,0.0000,0.1250,0.1250,0.1250,0.000,,,0,3.10,2.60,,,,,,,,,,,,,
VT,46,50,1980,511456,234772,15474,6.2,,,,4856,,,4505300,218,22517,7567,45650,17783,410,492,553,63,115,165,209,452,559,646,,238,41,279,308,62,12.0,0,69,79,0.47,10,20,0.33,0.0000,0.1000,0.1000,0.1000,0,500,500,500,0.0000,0.1250,0.1250,0.1250,0.000,,,0,3.10,3.10,,,,,,,,,,,,,
VA,47,51,1980,5346818,2428172,132000,5.2,,,,58669,,,56726500,24894,165811,60761,384077,138932,258,310,360,63,115,165,209,345,432,511,,238,0,238,279,647,12.4,0,74,25,0.75,31,9,0.78,0.0000,0.1000,0.1000,0.1000,0,500,500,500,0.0000,0.1250,0.1250,0.1250,0.000,,,0,3.10,2.65,,,,,,,,,,,,,
WA,48,53,1980,4132156,1823883,160792,8.1,,,,52682,,,46241900,214011,153832,54822,248245,105161,376,458,536,63,115,165,209,428,535,634,,238,43,281,309,538,12.7,1,49,49,0.50,30,19,0.61,0.0000,0.1000,0.1000,0.1000,0,500,500,500,0.0000,0.1250,0.1250,0.1250,0.000,,,0,3.10,3.10,,,,,,,,,,,,,
WV,49,54,1980,1949644,711819,74406,9.5,,,,18408,,,15632700,115390,77244,27056,208815,67644,164,206,249,63,115,165,209,279,359,433,,238,0,238,279,297,15.2,1,74,26,0.74,26,8,0.76,0.0000,0.1000,0.1000,0.1000,0,500,500,500,0.0000,0.1250,0.1250,0.1250,0.000,,,0,3.10,2.20,,,,,,,,,,,,,
WI,50,55,1980,4705767,2186318,169845,7.2,,,,52899,,,47282000,6789,212513,77989,214798,75449,377,444,529,63,115,165,209,428,525,629,,238,100,338,349,403,8.5,0,60,39,0.61,21,10,0.68,0.0000,0.1000,0.1000,0.1000,0,500,500,500,0.0000,0.1250,0.1250,0.1250,0.000,,,0,3.10,3.00,,,,,,,,,,,,,
WY,51,56,1980,469557,226853,9087,3.9,,,,10428,,,5506300,25782,6848,2697,14342,5499,280,315,340,63,115,165,209,361,435,497,,238,20,258,293,49,10.4,1,20,42,0.32,11,19,0.37,0.0000,0.1000,0.1000,0.1000,0,500,500,500,0.0000,0.1250,0.1250,0.1250,0.000,,,0,3.10,1.60,,,,,,,,,,,,,
AL,1,1,1981,3918531,1500534,177118,10.6,,,,40257,,,34465500,22389,171185,61234,604863,211595,89,118,148,70,128,183,233,217,301,381,,265,0,265,316,935,24.1,1,100,4,0.96,35,0,1.00,0.0000,0.1000,0.1000,0.1000,0,500,500,500,0.0000,0.1250,0.1250,0.1250,0.000,,,0,3.35,3.35,,,,,,,,,,,,,
AK,2,2,1981,418491,177803,18354,9.4,,,,21824,,,7152300,5994,16375,6774,32383,11165,457,514,572,108,197,293,359,620,756,863,,265,261,526,580,36,9.0,0,22,16,0.58,10,10,0.50,0.0000,0.1000,0.1000,0.1000,0,500,500,500,0.0000,0.1250,0.1250,0.1250,0.000,,,0,3.35,3.85,,,,,,,,,,,,,
AZ,3,4,1981,2810107,1192377,79301,6.2,,,,34269,,,30247100,62833,61829,22410,210233,72087,156,202,244,70,128,183,233,284,384,464,,265,0,265,316,323,11.7,1,17,43,0.28,14,16,0.47,0.0000,0.1000,0.1000,0.1000,0,500,500,500,0.0000,0.1250,0.1250,0.1250,0.000,,,0,3.35,3.35,,,,,,,,,,,,,
AR,4,5,1981,2293201,933766,89397,8.7,,,,22891,,,19702600,15306,84267,29638,305371,107036,133,161,188,70,128,183,233,261,344,421,,265,0,265,316,541,24.1,0,93,7,0.93,34,1,0.97,0.0000,0.1000,0.1000,0.1000,0,500,500,500,0.0000,0.1250,0.1250,0.1250,0.000,,,0,3.35,2.70,,,,,,,,,,,,,
CA,5,6,1981,24285933,10953612,876177,7.4,,,,368808,,,319557200,406260,1522765,520037,1604859,594380,374,463,550,70,128,183,233,450,567,678,,265,174,439,437,3216,13.3,1,48,32,0.60,23,17,0.58,0.0000,0.1000,0.1000,0.1000,0,500,500,500,0.0000,0.1250,0.1250,0.1250,0.000,,,0,3.35,3.35,,,,,,,,,,,,,
CO,6,8,1981,2977898,1450918,88396,5.7,,,,43974,,,36882900,118890,81537,29518,175167,66880,249,311,375,70,128,183,233,362,461,556,,265,61,326,358,285,9.6,1,26,39,0.40,13,22,0.37,0.0000,0.1000,0.1000,0.1000,0,500,500,500,0.0000,0.1250,0.1250,0.1250,0.000,,,0,3.35,1.90,,,,,,,,,,,,,
CT,7,9,1981,3128836,1497809,98628,6.2,,,,45642,,,43243000,19489,141659,50000,175018,68302,331,406,477,70,128,183,233,420,527,627,,265,160,425,428,254,8.2,1,83,68,0.55,22,13,0.63,0.0000,0.1000,0.1000,0.1000,0,500,500,500,0.0000,0.1250,0.1250,0.1250,0.000,,,0,3.35,3.37,,,,,,,,,,,,,
DE,8,10,1981,595975,265348,22571,7.8,,,,8839,,,7094100,2379,32893,11951,101148,41967,197,266,312,70,128,183,233,325,429,511,,265,0,265,316,72,12.3,0,16,25,0.39,12,9,0.57,0.0000,0.1000,0.1000,0.1000,0,500,500,500,0.0000,0.1250,0.1250,0.1250,0.000,,,0,3.35,2.00,,,,,,,,,,,,,
DC,9,11,1981,636893,279230,27330,8.9,,,,21740,,,9094100,9442,80860,28811,55521,22252,225,286,349,70,128,183,233,346,443,537,,265,15,280,326,111,18.1,.,,,,,,,0.0000,0.1000,0.1000,0.1000,0,500,500,500,0.0000,0.1250,0.1250,0.1250,0.000,,,0,3.35,3.35,,,,,,,,,,,,,
FL,10,12,1981,10192774,4224775,302650,6.7,,,,112167,,,115731200,70887,277360,102949,957066,371221,150,195,230,70,128,183,233,278,378,454,,265,0,265,316,1704,16.6,1,81,39,0.68,27,13,0.68,0.0000,0.1000,0.1000,0.1000,0,500,500,500,0.0000,0.1250,0.1250,0.1250,0.000,,,0,3.35,3.35,,,,,,,,,,,,,
GA,11,13,1981,5568345,2434001,166074,6.4,,,,63751,,,53458800,21093,236251,91021,653544,227059,137,164,193,70,128,183,233,265,347,426,,265,0,265,316,881,16.3,1,156,23,0.87,51,5,0.91,0.0000,0.1000,0.1000,0.1000,0,500,500,500,0.0000,0.1250,0.1250,0.1250,0.000,,,0,3.35,1.25,,,,,,,,,,,,,
HI,12,15,1981,978195,425803,24374,5.4,,,,14640,,,12434100,10358,61542,20133,103968,40430,390,468,546,95,175,250,318,534,663,786,,265,15,280,375,108,11.3,1,39,12,0.76,17,8,0.68,0.0000,0.1000,0.1000,0.1000,0,500,500,500,0.0000,0.1250,0.1250,0.1250,0.000,,,0,3.35,3.35,,,,,,,,,,,,,
ID,13,16,1981,962204,397016,33334,7.7,,,,10677,,,9237600,13454,20018,7321,64323,23454,260,323,367,70,128,183,233,370,469,550,,265,74,339,367,171,17.7,1,14,56,0.20,12,23,0.34,0.0000,0.1000,0.1000,0.1000,0,500,500,500,0.0000,0.1250,0.1250,0.1250,0.000,,,0,3.35,3.35,,,,,,,,,,,,,
IL,14,17,1981,11443458,5114483,477726,8.5,,,,159649,,,138877000,25027,708556,231117,984399,380058,250,302,368,70,128,183,233,363,454,551,,265,100,365,386,1371,12.1,0,86,91,0.49,30,29,0.51,0.0000,0.1000,0.1000,0.1000,0,500,500,500,0.0000,0.1250,0.1250,0.1250,0.000,,,0,3.35,2.30,,,,,,,,,,,,,
IN,15,18,1981,5480435,2359393,258566,9.9,,,,64724,,,56407000,15429,172154,61077,405015,139130,195,255,315,70,128,183,233,323,422,514,,265,0,265,316,685,12.6,0,35,63,0.36,15,35,0.30,0.0000,0.1000,0.1000,0.1000,0,500,500,500,0.0000,0.1250,0.1250,0.1250,0.000,,,0,3.35,3.35,,,,,,,,,,,,,
